Ingredients id,Ingredients
1,Honeycrisp apple 
2,maple syrup
3,cinnamon
4,vanilla extract
5,sea salt
6,almond milk
7,silken tofu
8,all-purpose flour
9,ground flaxseed
10,coconut oil
11,Frenchbread loaf
12,coconut flakes
